,email,gender,id,stepId,answerValue,answerId,answerTypeId,Country,Region,question_questions,answer_answers
0,emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Komi Republic,Reason for Attending the Event,To obtain general information
1,emilija+3_CmwU@bss.com.mk,F,67b46946197e604dd2722d5d,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
2,daniela.p+200_IzcX@bss.com.mk,F,67b47714197e604dd2722d69,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
3,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,M,67b484a9197e604dd2722d72,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
4,emilija+101_jj3C@bss.com.mk,F,67b709442d21f543a10965fe,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Kamchatka Region,Reason for Attending the Event,To obtain general information
5,emilija+100_L8gA_Ur8T@bss.mk,F,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Komi Republic,Reason for Attending the Event,To obtain general information
6,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,F,xodwfemcnbuqzq632xnlrxt6,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
7,daniela.p+200_IzcX_T1OA@bss.com.mk,M,5k1w1e9g4pqtjq6kaswik438,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
8,daniela.p+200_IzcX_pGIR@bss.com.mk,F,jucfn0c2jtisba29n87e4evt,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
9,emilija+3_CmwU_XhuG@bss.com.mk,M,ktctiej7lv5fikf9ej8tbbdc,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
10,emilija+101_jj3C_nsLJ@bss.com.mk,M,u5wwl65fybur92b90c3hswao,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Kamchatka Region,Reason for Attending the Event,To obtain general information
11,emilija+3_CmwU_xccV@bss.com.mk,F,bcmmerckywgc6llx4kxyr1le,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
12,emilija+101_jj3C_5KuG@bss.com.mk,F,4877yd3ywtavsxe5acy4vby2,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Kamchatka Region,Reason for Attending the Event,To obtain general information
13,emilija+101_jj3C_g3J8@bss.com.mk,M,i6uv2n0jfrqxhuh90fl90cfv,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Kamchatka Region,Reason for Attending the Event,To obtain general information
14,emilija+100_L8gA_7JBa@bss.mk,F,nvark7mbo9mzipyrs3b05ni5,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Komi Republic,Reason for Attending the Event,To obtain general information
15,emilija+3_CmwU_NYnU@bss.com.mk,F,d06cnxqs2ghe6egg635797eb,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
16,emilija+3_CmwU_F2JI@bss.com.mk,F,5uytvy9crand6h03ox1elvuc,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
17,emilija+100_L8gA_JDxN@bss.mk,M,5od7hl76u671o8mjes1qxwsk,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Komi Republic,Reason for Attending the Event,To obtain general information
18,aleksandar.dimkov+mb1_Xc8j_vvSH@bss.com.mk,M,y67npjis9odvv7cgl9867epq,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
19,emilija+3_CmwU_tbhk@bss.com.mk,M,gvlehw939njjmi3fs5c43a7p,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Saint Petersburg,Reason for Attending the Event,To obtain general information
20,daniela.p+200_IzcX_vB6s@bss.com.mk,M,y10ilgiji2mozv41r1uvfwo2,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
21,emilija+101_jj3C_mXlu@bss.com.mk,F,j4pb9w5u35nzubtiagk5a61l,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Kamchatka Region,Reason for Attending the Event,To obtain general information
22,daniela.p+200_IzcX_QOfF@bss.com.mk,M,uud1nluegdqmisnfzpg75iqg,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
23,daniela.p+200_IzcX_CIHU@bss.com.mk,M,mv0j9yovwhgmtif9l1naciko,5c8a78336d41a10da4f730fd,,5c8a78336d41a10da4f73100,Answer,Russia,Moscow,Reason for Attending the Event,To obtain general information
24,emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Komi Republic,Which of the following best describes your job function?,Media
25,emilija+100_zbmO@bss.com.mk,F,67b47738197e604dd2722d6b,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Kamchatka Region,Which of the following best describes your job function?,Media
26,emilija+100_L8gA_Ur8T@bss.mk,F,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Komi Republic,Which of the following best describes your job function?,Media
27,emilija+100_zbmO_xln3@bss.com.mk,F,zcf116neh1ny42asu75xy0h2,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Kamchatka Region,Which of the following best describes your job function?,Media
28,emilija+100_L8gA_7JBa@bss.mk,F,nvark7mbo9mzipyrs3b05ni5,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Komi Republic,Which of the following best describes your job function?,Media
29,emilija+100_L8gA_JDxN@bss.mk,M,5od7hl76u671o8mjes1qxwsk,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Komi Republic,Which of the following best describes your job function?,Media
30,emilija+100_zbmO_lsjt@bss.com.mk,M,ip5ylx2a6dts3f5lak2q2mi3,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Kamchatka Region,Which of the following best describes your job function?,Media
31,emilija+100_zbmO_4ZQ4@bss.com.mk,M,ifuk295cot2nvgcd9m6ees78,5c8a78336d41a10da4f73225,,5c8a78336d41a10da4f73244,Answer,Russia,Kamchatka Region,Which of the following best describes your job function?,Media
32,emilija+100_L8gA@bss.mk,F,67b70a9f2d21f543a1096602,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Komi Republic,Please indicate your company's main area of business,Travel Agent
33,daniela.p+150_YhiF@bss.com.mk,F,67b44fef197e604dd2722d3d,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,North Macedonia,,Please indicate your company's main area of business,Travel Agent
34,tanja+182_jiPa@bss.com.mk,F,67b45018197e604dd2722d3e,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Ivanovo Region,Please indicate your company's main area of business,Travel Agent
35,emilija+3_CmwU@bss.com.mk,F,67b46946197e604dd2722d5d,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Saint Petersburg,Please indicate your company's main area of business,Travel Agent
36,tatjana+182_N1PC@bss.mk,F,67b46049197e604dd2722d4a,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow Region,Please indicate your company's main area of business,Travel Agent
37,emilija+2_02Wi@bss.com.mk,F,67b46590197e604dd2722d5a,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Leningrad Region,Please indicate your company's main area of business,Travel Agent
38,daniela.p+200_IzcX@bss.com.mk,F,67b47714197e604dd2722d69,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
39,emilija+100_zbmO@bss.com.mk,F,67b47738197e604dd2722d6b,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Kamchatka Region,Please indicate your company's main area of business,Travel Agent
40,emilija+101_jj3C@bss.com.mk,F,67b709442d21f543a10965fe,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Kamchatka Region,Please indicate your company's main area of business,Travel Agent
41,daniela.p+202_Rw2b@bss.com.mk,F,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
42,emilija+01_I7vH@bss.com.mk,F,67b46415197e604dd2722d55,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Amur Region,Please indicate your company's main area of business,Travel Agent
43,tanja+242_B3fl@bss.com.mk,F,67bcb979966b8de398095c90,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,North Macedonia,,Please indicate your company's main area of business,Travel Agent
44,emilija+100_L8gA_Ur8T@bss.mk,F,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Komi Republic,Please indicate your company's main area of business,Travel Agent
45,tanja+182_jiPa_jNR0@bss.com.mk,M,fi1h2gygfcwed97ls0e0c31v,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Ivanovo Region,Please indicate your company's main area of business,Travel Agent
46,daniela.p+202_Rw2b_0LXC@bss.com.mk,M,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
47,emilija+2_02Wi_QBD0@bss.com.mk,M,fnj1fly0ua1tiuvc9pvp5m3r,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Leningrad Region,Please indicate your company's main area of business,Travel Agent
48,daniela.p+200_IzcX_T1OA@bss.com.mk,M,5k1w1e9g4pqtjq6kaswik438,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
49,daniela.p+200_IzcX_pGIR@bss.com.mk,F,jucfn0c2jtisba29n87e4evt,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
50,daniela.p+202_Rw2b_MtGK@bss.com.mk,F,7z4ymlbvgu3ct7w8qjeaycts,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
51,emilija+01_I7vH_TpD9@bss.com.mk,M,je2onetovfvjq9eheqd1innr,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Amur Region,Please indicate your company's main area of business,Travel Agent
52,emilija+3_CmwU_XhuG@bss.com.mk,M,ktctiej7lv5fikf9ej8tbbdc,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Saint Petersburg,Please indicate your company's main area of business,Travel Agent
53,daniela.p+150_YhiF_SxIe@bss.com.mk,F,7ibrdat3zwe6vjvb0sv29jks,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,North Macedonia,,Please indicate your company's main area of business,Travel Agent
54,emilija+01_I7vH_AxF5@bss.com.mk,M,tcnfl4z60xouv3fk3w66wtcc,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Amur Region,Please indicate your company's main area of business,Travel Agent
55,emilija+101_jj3C_nsLJ@bss.com.mk,M,u5wwl65fybur92b90c3hswao,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Kamchatka Region,Please indicate your company's main area of business,Travel Agent
56,emilija+2_02Wi_sEkD@bss.com.mk,M,aldevuzj7ns6u2d627eq2q5g,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Leningrad Region,Please indicate your company's main area of business,Travel Agent
57,emilija+3_CmwU_xccV@bss.com.mk,F,bcmmerckywgc6llx4kxyr1le,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Saint Petersburg,Please indicate your company's main area of business,Travel Agent
58,emilija+100_zbmO_xln3@bss.com.mk,F,zcf116neh1ny42asu75xy0h2,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Kamchatka Region,Please indicate your company's main area of business,Travel Agent
59,daniela.p+202_Rw2b_20IK@bss.com.mk,M,8iqywq3m81tjxwfrd0jijyth,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Moscow,Please indicate your company's main area of business,Travel Agent
60,tanja+182_jiPa_MVxX@bss.com.mk,M,e8bxsksz9xo25tg7tvo7z2ho,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Ivanovo Region,Please indicate your company's main area of business,Travel Agent
61,tanja+182_jiPa_ARQM@bss.com.mk,M,aq4v0kee568ttej8iiemf43d,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Ivanovo Region,Please indicate your company's main area of business,Travel Agent
62,emilija+101_jj3C_5KuG@bss.com.mk,F,4877yd3ywtavsxe5acy4vby2,5c8a78336d41a10da4f73252,,5c8a78336d41a10da4f73291,Answer,Russia,Kamchatka Region,Please indicate your company's main area of business,Travel Agent
