,id,email,gender,Country,Region,Please indicate your company's main area of business,Reason for Attending the Event,What is your company's annual purchasing budget?,What role do you play in the purchasing decision making process?,Which of the following best describes your job function?,Please indicate your company's main area of business_count,Reason for Attending the Event_count,What is your company's annual purchasing budget?_count,What role do you play in the purchasing decision making process?_count,Which of the following best describes your job function?_count
0,0wcaegyyobblhhvfzwyibn0a,daniela.p+203_NfBj_lrIk@bss.com.mk,M,Russia,Moscow Region,Tour Operator,Educational purposes ,,Advisory role,Visa support,1,1,0,1,1
1,1o5g2tlsho4gxzk3usr06z1c,sergey.usenko_ucwx_DPxA@ite.group,F,New Zealand,,,Personal interest,,,,0,1,0,0,0
2,35d97gdotgwa5lwpd0vs7k0h,tanja+182_jiPa_5IoL@bss.com.mk,M,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
3,3a17inawhgac2o0xtix3fb3n,aleksandar.dimkov+mitt1_n5eA_oG2a@bss.com.mk,M,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
4,3p80z1iocd67z0qvg8ju1cc0,aleksandar.dimkov+mitt10_V0iB_2bw2@bss.com.mk,M,Russia,Moscow Region,Tour Operator,To source products and services,Up to 1 million rubles,Joint responsibility,Visa support,1,1,1,1,1
5,4877yd3ywtavsxe5acy4vby2,emilija+101_jj3C_5KuG@bss.com.mk,F,Russia,Kamchatka Region,Travel Agent,To obtain general information,,No influence,Sales,1,1,0,1,1
6,5k1w1e9g4pqtjq6kaswik438,daniela.p+200_IzcX_T1OA@bss.com.mk,M,Russia,Moscow,Travel Agent,To obtain general information,,Advisory role,Guided tour services,1,1,0,1,1
7,5od7hl76u671o8mjes1qxwsk,emilija+100_L8gA_JDxN@bss.mk,M,Russia,Komi Republic,Travel Agent,To obtain general information,,No influence,Media,1,1,0,1,1
8,5uytvy9crand6h03ox1elvuc,emilija+3_CmwU_F2JI@bss.com.mk,F,Russia,Saint Petersburg,Travel Agent,To obtain general information,,No influence,,1,1,0,1,0
9,67ada1ee197e604dd2722d1b,aleksandar.dimkov+mitt1_n5eA@bss.com.mk,M,Russia,Moscow,Event management,To source products and services,5 - 10 million rubles,Sole responsibility,Sales,1,1,1,1,1
10,67b44fef197e604dd2722d3d,daniela.p+150_YhiF@bss.com.mk,F,North Macedonia,,Travel Agent,To promote products and services,Up to 1 million rubles,Joint responsibility,Formation of tourist products,1,1,1,1,1
11,67b45018197e604dd2722d3e,tanja+182_jiPa@bss.com.mk,F,Russia,Ivanovo Region,Travel Agent,To promote products and services,,Advisory role,,1,1,0,1,0
12,67b45356197e604dd2722d43,tanja+182_Ahsx@bss.mk,M,North Macedonia,,IT solutions for travel industry,To promote products and services,1 - 5 million rubles,Sole responsibility,,1,1,1,1,0
13,67b45942197e604dd2722d45,daniela.p+151_o4q3@bss.com.mk,F,Russia,Leningrad Region,,Personal interest,,,,0,1,0,0,0
